22|세 줄기 시냇물|川의 세로획 셋을 나란히 흐르는 물길로 읽자. 고이지 않고 흐르는 내 천!|河川(하천): 강(河)과 내(川), 흐르는 물길.|山川(산천): 산(山)과 내(川), 자연의 지형.|three parallel ribbons of clear flowing blue water
23|투명한 얼음|氷은 水 옆에 점 하나. 물에 찬 기운 한 점이 닿아 꽁꽁 얼었다고 상상하자.|氷水(빙수): 얼음(氷)과 물(水), 잘게 간 얼음으로 만든 음식.|氷山(빙산): 산(山)처럼 거대한 얼음(氷).|a giant transparent ice cube with frosty blue cracks
24|두 조각 얼음|冫는 점 두 개, 氵는 점 세 개. 물 세 방울이 얼어 두 덩이가 되었다고 구별하자.|冷水(냉수): 冷의 冫가 차가움의 단서. 차가운 물.|凍結(동결): 凍의 冫를 찾자. 얼어 굳음.|two sharp pale blue ice shards stacked diagonally
25|솟구치는 불꽃|火의 가운데는 큰 불길, 양옆 점은 작은 불꽃으로 연결하자. 화르르, 불 화!|火災(화재): 불(火)로 인한 재앙(災).|火力(화력): 불(火)이 내는 힘(力).|a towering vivid orange flame with ruby red tips
26|톡 튀는 불똥|丶는 한 점을 쓰는 모양이다. 톡 튄 빨간 불똥 하나로 형태를 기억하고 기본 훈은 점 주로 익히자.|主人(주인): 主의 맨 위 점 丶를 관찰한다. 주인이라는 뜻이 불똥에서 나오지는 않는다.|丸藥(환약): 丸의 점 丶를 관찰한다. 둥근 알약을 뜻한다.|a single brilliant red glowing ember
27|풀잎 머리띠|艹는 글자 머리에 놓이는 풀 부수. 글자 위에 초록 풀잎 머리띠를 씌워 보자.|草原(초원): 草의 艹가 풀과 관련된 뜻을 돕는다. 풀밭.|花草(화초): 花와 草의 머리에 艹가 보인다. 꽃과 풀.|a vivid green grass tuft shaped like a horizontal crown
28|쌍으로 솟은 풀|艸의 두 덩이를 풀 두 포기로 보자. 위에 붙으면 艹로 줄어드는 풀 초!|草木(초목): 草에 艸의 변형 艹가 쓰인다. 풀과 나무.|本草(본초): 草의 풀 부수를 찾자. 약재가 되는 식물 등을 이르는 말.|two lush green grass clumps joined at the roots
29|날개 펼친 새|鳥 아래의 점들을 새 발자국에 연결하자. 긴 꼬리까지 갖춘 새 조!|鳥類(조류): 새(鳥)의 무리(類).|白鳥(백조): 흰(白) 새(鳥), 고니류를 이르는 말.|a graceful white bird with enormous outstretched wings
30|굽은 목의 새|乙의 굽은 획을 새의 목으로 상상하자. 새 을은 전통 훈음이며 실제 단어에서는 둘째 천간·순서도 나타낸다.|甲乙(갑을): 첫째 갑(甲)과 둘째 을(乙), 순서나 당사자를 구별한다.|乙種(을종): 을(乙)로 구분한 종류(種). 새의 종류라는 뜻은 아니다.|a tiny yellow bird with a dramatically curved neck
31|짧은 꼬리 새|隹의 촘촘한 획을 접힌 깃털로 보자. 鳥의 긴 꼬리와 대비해 짧은 꼬리 새 추!|集會(집회): 集에서 隹와 木 모양을 찾는다. 모이는 모임.|雌雄(자웅): 雌와 雄에 隹가 들어 있다. 암컷과 수컷.|a plump teal short tailed bird with layered feathers
32|한 쌍의 깃|羽의 두 칸을 펼친 날개 한 쌍으로 보자. 안의 짧은 획은 잔깃, 깃 우!|羽毛(우모): 깃(羽)과 털(毛), 새의 깃털.|羽化(우화): 곤충이 날개를 갖춘 성충으로 변함(化).|two silky white feathered wings spread symmetrically
33|힘차게 나는 새|飛의 뻗는 획을 바람을 가르는 날갯짓에 연결하자. 새 자체가 아니라 나는 행동, 날 비!|飛行(비행): 날아서(飛) 감(行).|飛躍(비약): 날아(飛) 뛰어오름(躍), 큰 발전.|a cobalt bird soaring upward with dramatically swept wings
34|화려한 긴꼬리 꿩|翟의 위 羽와 아래 隹를 눈에 담자. 화려한 깃을 가진 새, 꿩 적으로 연결하자.|翟衣(적의): 꿩(翟) 무늬를 놓은 전통 예복(衣).|濯足(탁족): 濯 안에 翟이 있다. 발을 씻는다는 뜻이며 翟은 소리 계열 학습의 단서다.|a gorgeous pheasant with long iridescent golden tail feathers
35|다리 긴 황새|雚 아래 隹를 찾고 위쪽을 커다란 눈으로 상상하자. 긴 다리로 우뚝 선 황새 관!|觀察(관찰): 觀의 왼쪽에 雚이 있다. 자세히 살펴봄.|歡迎(환영): 歡의 왼쪽에 雚이 있다. 기쁘게 맞이함. 황새라는 뜻으로 풀지 않는다.|a tall white stork with an exaggerated red beak
36|귀를 쫑긋한 개|大 옆에 점 하나를 더하면 犬. 사람 모양 大에 꼬리 점을 붙인 개로 기억하자.|愛犬(애견): 사랑하는(愛) 개(犬).|猛犬(맹견): 사나운(猛) 개(犬).|an excited golden dog with oversized perked ears
37|옆으로 선 개|犭는 犬이 왼쪽에서 줄어든 부수. 굽은 등을 가진 동물이 글자 옆에 붙었다고 기억하자.|獨立(독립): 獨의 왼쪽 犭를 찾자. 단어 뜻은 홀로 섬이다.|狂犬(광견): 狂의 犭를 찾자. 미친 개를 뜻한다.|a golden dog in a narrow upright side profile
38|통통한 돼지|豕 아래로 뻗는 획을 배 아래 다리와 꼬리로 보자. 배가 볼록한 돼지 시!|豕突(시돌): 돼지(豕)처럼 갑자기 내달림(突), 문어 표현.|家庭(가정): 家 안에 豕가 있다. 집·가정을 뜻하는 글자의 구성 찾기.|a very plump pink pig with a curly tail
39|납작한 돼지 코|彐의 납작한 테두리를 돼지 코의 옆모습으로 연결하자. 돼지머리 계라는 부수 이름을 기억한다.|歸家(귀가): 歸의 윗부분에서 彐 모양을 찾는다. 집으로 돌아감.|雪景(설경): 雪 아래 彐 모양을 찾는다. 눈 풍경이며 돼지 뜻은 없다.|a close up pink pig snout with exaggerated nostrils
40|뾰족한 고슴도치 머리|彑의 꺾이는 바깥선을 고슴도치의 뾰족한 얼굴로 상상하자. 彐와 모양을 비교한다.|彙集(휘집): 彙에서 彑 모양을 찾는다. 모아서 묶음.|緣分(연분): 緣 오른쪽 위의 彑 모양을 관찰한다. 인연이라는 뜻이다.|a cute hedgehog head with enormous crisp brown spines
41|굵은 뿔의 소|牛 위쪽 짧은 획은 뿔, 아래 곧은 획은 얼굴로 연결하자. 우직한 소 우!|牛乳(우유): 소(牛)의 젖(乳).|韓牛(한우): 한국(韓)의 소(牛).|a sturdy brown ox with huge curved horns
42|갈기 날리는 말|馬 아래 네 점을 질주하는 네 발로 기억하자. 다그닥, 말 마!|馬車(마차): 말(馬)이 끄는 수레(車).|乘馬(승마): 말(馬)에 올라탐(乘).|a muscular white horse with a dramatically flowing mane
43|꼬불뿔 양|羊 맨 위 두 획을 뿔로, 가운데를 길쭉한 얼굴로 보자. 복슬복슬 양 양!|羊毛(양모): 양(羊)의 털(毛).|山羊(산양): 산(山)에 사는 양(羊) 계열 동물.|a fluffy white sheep with large curled horns
44|나뭇가지뿔 사슴|鹿 위의 넓은 부분은 뿔, 아래는 다리라고 상상하자. 가지처럼 갈라진 뿔의 사슴 록!|鹿角(녹각): 사슴(鹿)의 뿔(角).|鹿茸(녹용): 사슴(鹿)의 아직 단단해지지 않은 어린 뿔(茸).|a graceful golden deer with enormous branching antlers
45|수염 긴 쥐|鼠 아래의 길쭉한 획을 꼬리, 짧은 표시를 발로 보자. 수염이 쑥, 쥐 서!|鼠藥(서약): 쥐(鼠)를 없애는 약(藥). 맹세인 誓約과 구별.|鼠害(서해): 쥐(鼠) 때문에 생기는 피해(害). 바다 西海와 구별.|a tiny gray mouse with oversized whiskers and curled tail
46|꼬리 긴 원숭이|禺 아래 굽은 선을 길게 말린 꼬리로 연결하자. 우우 소리 내는 원숭이 우!|寓話(우화): 寓에 禺가 있다. 다른 이야기로 뜻을 전하는 이야기.|偶然(우연): 偶에 禺가 있다. 뜻밖에 일어남. 원숭이 뜻으로 풀이하지 않는다.|a playful brown monkey with an enormous curled tail
47|위풍당당 해태|豸의 굽은 몸을 웅크린 해태에 연결하자. 전통 훈 해태 치를 기억하되 해태는 상상 속 동물이다.|獬豸(해치): 해태를 가리키는 이름. 豸의 음은 여기서 치.|豹紋(표문): 豹의 왼쪽 豸를 찾는다. 표범의 무늬를 뜻한다.|a majestic turquoise mythical haetae with a curled mane
48|비늘 번쩍이는 용|龍의 복잡한 획을 구불구불한 몸과 비늘로 보자. 힘차게 솟는 용 용!|龍王(용왕): 용(龍)의 왕(王).|恐龍(공룡): 무서운(恐) 용(龍)이라는 이름의 멸종 동물 무리.|a magnificent emerald dragon with gleaming scales
49|귀가 긴 토끼|卯의 두 세로 덩이를 토끼 귀 한 쌍에 연결하자. 지지 卯가 상징하는 동물은 토끼!|卯年(묘년): 지지 卯에 해당하는 해(年), 토끼해.|卯時(묘시): 卯로 표시한 시간(時), 전통 시각으로 오전 5~7시.|a white rabbit with comically enormous upright ears
50|줄무늬 호랑이|虎 위의 갈고리 같은 부분을 호랑이 머리, 아래를 웅크린 다리로 보자. 범 호!|猛虎(맹호): 사나운(猛) 호랑이(虎).|虎皮(호피): 호랑이(虎)의 가죽(皮), 또는 그 무늬.|a powerful orange tiger with striking black stripes
51|둥근 돼지 인형|亥 아래로 벌어진 획을 돼지의 뒷다리로 연결하자. 열두 지지의 마지막, 돼지 해!|亥年(해년): 지지 亥에 해당하는 해(年), 돼지해.|亥時(해시): 亥로 표시한 시간(時), 전통 시각으로 오후 9~11시.|a round pink pig sitting with its rear legs apart
52|새가 가득한 나무|喿의 口 셋을 짹짹대는 입 셋, 木을 나뭇가지로 보자. 나무 위 새떼로울 조!|喧噪(훤조): 噪에 喿가 들어 있다. 시끄럽게 떠드는 일, 문어 표현.|操作(조작): 操에 喿가 들어 있다. 기계 등을 다루는 일로 뜻은 별도 학습한다.|a tiny tree packed with chirping bright yellow birds
53|선명한 발자국|禸의 안쪽 굽은 선을 동물이 남긴 발자국으로 연결하자. 바닥에 꾹, 발자국 유!|禹(하우씨 우): 아래에서 禸 모양을 찾는 구성 예시. 고대 인명이다.|禽類(금류): 禽 아래 禸 모양을 찾는다. 날짐승의 무리라는 뜻이다.|a deep glossy animal paw print in brown clay
54|분명히 갈라진 자국|釆는 米 위에 삐침이 하나 더 있다. 서로 다른 갈래를 나누어 알아보는 분별할 변!|釋放(석방): 釋 왼쪽에 釆가 있다. 구속에서 풀어 놓음. 구성 예시다.|番號(번호): 番 위에 釆가 들어 있다. 순서를 나타내는 표지.|a fan of distinct colored channels carved into one stone
55|두툼한 고깃살|肉의 테두리 안을 꽉 채운 두 덩이를 두툼한 살결로 보자. 고기 육!|肉類(육류): 고기(肉)의 종류(類).|筋肉(근육): 힘줄(筋)과 살(肉), 몸을 움직이는 조직.|a thick pink cut of meat with clear marbling
56|몸속 붉은 근육|이 月은 달이 아니라 肉의 부수형. 몸 관련 글자 옆에서는 붉은 살덩이를 떠올리자.|肝臟(간장): 肝·臟의 月은 고기 부수. 몸의 장기인 간.|腹部(복부): 腹의 月은 몸과 관련된 뜻을 돕는다. 배 부분.|a sculpted red muscle bundle with clear fibers
57|새하얀 뼈|骨 위쪽은 뼈마디, 아래는 살을 붙이는 자리로 상상하자. 단단한 뼈 골!|骨折(골절): 뼈(骨)가 부러짐(折).|骨格(골격): 뼈(骨)가 이루는 틀(格).|a giant smooth ivory bone with enlarged rounded joints
58|뾰족한 뿔|角 맨 위의 뾰족한 획을 뿔끝으로 보자. 아래의 층은 뿔의 결, 뿔 각!|角質(각질): 뿔(角)처럼 단단해진 성질(質)의 조직.|三角(삼각): 모서리·각(角)이 셋(三). 뿔에서 뾰족한 각으로 뜻을 연결한다.|a huge curved ivory horn with deep ridges
59|부드럽게 접힌 가죽|皮의 펼쳐지는 획을 벗겨 펼친 가죽의 가장자리로 연결하자. 피부의 피!|皮膚(피부): 몸의 겉을 덮는 가죽(皮)과 살갗(膚).|皮革(피혁): 가죽(皮)과 가공한 가죽(革).|a folded chestnut leather sheet with detailed pores
60|유연한 가죽 끈|韋의 가운데를 감싸는 획에 주목하자. 손질해서 부드럽게 휘는 가죽, 다룸가죽 위!|韋編(위편): 책을 엮는 가죽(韋) 끈(編). 고전에서 쓰는 말.|韋編三絶(위편삼절): 책의 가죽끈이 세 번 끊어질 만큼 되풀이해 읽음.|a supple caramel leather strap curled into a loop
61|팽팽한 가죽판|革은 가로세로로 팽팽히 펼친 가죽판으로 기억하자. 부드럽게 휘는 韋와 대비한다.|皮革(피혁): 가죽(皮)과 다룬 가죽(革).|改革(개혁): 고쳐(改) 새롭게 바꿈(革). 革은 바꾸다는 뜻도 가진다.|a taut dark brown leather hide with crisp edges
62|은빛 물고기|魚 위는 머리, 가운데 田은 비늘, 아래 점은 꼬리 움직임으로 연결하자.|魚類(어류): 물고기(魚)의 무리(類).|鮮魚(선어): 신선한(鮮) 물고기(魚).|a large silver fish with shimmering individual scales
63|무지갯빛 조개|貝 위의 칸은 조개껍데기 결, 아래 두 획은 벌어진 틈으로 보자. 조개 패!|貝類(패류): 조개(貝)의 종류(類).|貝殼(패각): 조개(貝)의 껍데기(殼).|an iridescent seashell opened slightly to show pearly texture
64|꿈틀대는 벌레|䖝은 익숙한 虫과 함께 모양을 비교한다. 굽은 아랫획을 벌레 꼬리로 연결하자.|昆蟲(곤충): 蟲은 虫을 거듭 쓴 형태. 벌레 종류를 가리킨다.|害蟲(해충): 해(害)를 끼치는 벌레(蟲). 䖝의 이체 관계로 연결한다.|a bright green caterpillar with exaggerated rounded segments
65|잎을 먹는 애벌레|蜀 아래 虫을 찾자. 큰 머리로 잎을 갉는 애벌레를 떠올리되 특정 현대 종으로 단정하지 않는다.|蜀漢(촉한): 중국의 옛 나라 이름. 蜀은 여기서 지명·나라 이름이다.|燭光(촉광): 燭 안에 蜀이 있다. 촛불의 빛이며 蜀은 소리 단서다.|a plump emerald caterpillar with an oversized head
66|볼이 부푼 맹꽁이|맹꽁이는 黽으로 학습한다. 복잡한 글자 안에 납작한 몸과 둥근 눈을 숨겨 놓았다고 상상하자.|黽(맹꽁이 맹): 독립 글자 예시. 현대 일상 한자어가 드물다.|繩索(승삭): 繩 오른쪽에서 黽 계열 모양을 찾는다. 밧줄이라는 뜻이다.|a round olive frog with hugely inflated cheeks
67|등껍질 큰 거북|龜의 빽빽한 획은 단단한 등껍질 무늬로 보자. 느리지만 잊히지 않는 거북 귀!|龜船(귀선): 거북(龜) 모양의 배(船), 거북선.|龜裂(균열): 거북 등 무늬처럼 갈라짐. 이 단어의 龜는 균으로 읽는다.|a jade green turtle with an enormous patterned shell
68|아주 작은 씨앗|小의 가운데를 작은 씨앗, 양옆 점을 작은 크기 표시로 상상하자. 클 大와 대비!|小型(소형): 작은(小) 형태(型).|大小(대소): 큼(大)과 작음(小).|a tiny glossy golden seed centered in vast white space
69|껍질 뚫는 새싹|生의 세로획이 땅을 뚫고 솟는다고 상상하자. 생명이 새로 나는 날 생!|生命(생명): 살아 있음(生)과 목숨(命).|出生(출생): 세상에 나와(出) 태어남(生).|a vivid green sprout bursting from a split seed
70|고개 숙인 벼|禾는 木 머리의 삐침이 단서. 알찬 벼 이삭이 무거워 고개를 숙였다고 연결하자.|禾穀(화곡): 벼(禾)를 비롯한 곡식(穀). 문어·농업 표현.|秋收(추수): 秋의 禾를 찾는다. 가을에 곡식을 거둠.|a golden rice stalk bending under enormous ripe grains
71|가지런한 이삭|가지런할 제는 齊로 학습한다. 높이가 딱 맞춰진 이삭처럼 줄을 맞춘 모습을 기억하자.|整齊(정제): 정돈하여(整) 가지런하게 함(齊).|一齊(일제): 한결같이(一) 가지런히(齊), 모두 한꺼번에.|perfectly aligned golden grain stalks with level tops
72|새하얀 쌀알|米의 사방 획을 흩어진 쌀알로 보자. 벼 禾에서 껍질을 벗기면 쌀 米!|白米(백미): 흰(白) 쌀(米).|玄米(현미): 겉껍질만 벗겨 빛이 어두운(玄) 쌀(米).|a glossy mound of oversized pearly white rice grains
73|수염 긴 보리|麥의 촘촘한 윗획을 보리의 긴 수염에 연결하자. 벼보다 수염이 빳빳한 보리 맥!|麥酒(맥주): 보리(麥)를 원료로 빚은 술(酒).|小麥(소맥): 밀을 가리키는 한자어. 麥은 보리·밀 계열을 나타낸다.|a golden barley ear with extremely long fine awns
74|동글동글 콩|豆의 네모를 콩이 담긴 그릇으로 연결하자. 콩 두는 뜻 연상이며 글자 유래 설명과 구별한다.|豆腐(두부): 콩(豆)으로 만드는 식품.|大豆(대두): 큰(大) 콩(豆), 메주콩.|a plump pale yellow soybean with smooth skin
75|노란 기장 알곡|黍를 잘게 쏟아지는 노란 알곡으로 기억하자. 쌀보다 동글고 작은 기장 서!|黍米(서미): 기장(黍)의 알곡(米). 일상 사용은 드문 말.|黃黍(황서): 누런(黃) 기장(黍). 곡물 이름의 뜻을 확인한다.|a golden millet head with thousands of tiny round grains
76|넘치는 곡식 계량통|斗의 꺾인 획을 곡식을 퍼 담는 통과 손잡이로 보자. 부피를 재는 말 두!|北斗(북두): 북쪽(北)의 국자 모양 별자리(斗).|斗量(두량): 말(斗)로 곡식 등의 양을 헤아림(量). 문어 표현.|a wooden grain measure overflowing with golden rice
77|크게 먹는 사람|食 위 지붕 아래를 크게 벌린 입처럼 상상하자. 먹을 때는 식, 먹을 식!|食事(식사): 먹는(食) 일(事).|食品(식품): 먹는(食) 물품(品).|a joyful character taking an enormous bite
78|길쭉한 부추|韭 아래 긴 획은 밭, 그 위 나란한 획은 길쭉한 잎이라고 연결하자. 부추 구!|韭菜(구채): 부추(韭)라는 채소(菜). 한국 일상에서는 부추라고 한다.|韭葉(구엽): 부추(韭)의 잎(葉). 뜻을 확인하는 드문 표현.|a dense upright bunch of long flat dark green chives
79|길고 시원한 오이|瓜 아래로 늘어진 획을 덩굴에 매달린 오이로 보자. 오이 과, 덩굴 열매!|木瓜(모과): 나무(木)에 열리는 과실(瓜). 관용 독음 모과.|西瓜(서과): 수박을 이르는 한자어. 瓜는 오이뿐 아니라 박과 열매도 가리킨다.|an enormous crisp green cucumber with textured skin
80|질긴 삼 줄기|麻 아래 나무처럼 선 두 덩이를 줄기 묶음으로 연결하자. 껍질에서 섬유를 얻는 삼 마!|麻布(마포): 삼(麻) 섬유로 짠 천(布).|亞麻(아마): 섬유와 씨를 이용하는 식물의 이름. 麻는 섬유 식물과 연결된다.|a tall bundle of hemp stalks with visible pale fibers
81|뿌리 펼친 나무|木의 세로획은 줄기, 위는 가지, 아래는 뿌리로 연결하자. 목재의 목!|木材(목재): 나무(木)로 된 재료(材).|樹木(수목): 나무 수(樹)와 나무 목(木), 나무들을 이르는 말.|a magnificent oak tree with exposed spreading roots
82|가문의 문장|氏의 아래 굽은 획을 오래 이어진 가문의 끈으로 상상하자. 이름 앞에 붙는 성씨 씨!|氏族(씨족): 같은 성씨(氏)와 혈통의 무리(族).|姓氏(성씨): 성(姓)과 씨(氏), 가문을 나타내는 이름.|an ornate golden family crest with flowing ribbon
83|맨 밑 받침|氐는 氏 밑에 획 하나가 더 있다. 가문의 가장 밑바탕을 받친다고 기억하자.|低下(저하): 低에 氐가 있다. 아래로 낮아짐, 소리 저를 연결한다.|底面(저면): 底 안에 氐가 있다. 물체의 밑면.|a heavy dark blue pedestal with a broad bottom ledge
84|쭉 뻗은 대나무|竹의 두 줄기를 나란한 대나무 두 대로 보자. 마디마다 쭉쭉, 대 죽!|竹林(죽림): 대나무(竹)가 모인 숲(林).|竹筍(죽순): 대나무(竹)의 어린 싹(筍).|two tall emerald bamboo stems with exaggerated joints
85|세로로 쪼갠 널|爿은 널빤지를 세운 옆모습으로 연결하자. 반대쪽 片과 나란히 비교하면 더 잘 남는다.|牆壁(장벽): 牆 왼쪽에 爿이 있다. 벽을 뜻하는 말.|狀態(상태): 狀 왼쪽에 爿이 있다. 사물의 모습이나 형편.|a tall split wooden plank showing rough inner grain
86|떼어 낸 나무 조각|片을 한쪽이 떨어져 나간 나무판으로 보자. 전체에서 떼어 낸 한 조각, 조각 편!|片紙(편지): 한 조각(片)의 종이(紙)에 쓴 소식.|破片(파편): 깨진(破) 조각(片).|a single broken wooden fragment with splintered edges
87|두 발로 선 사람|人의 두 획을 벌린 두 다리로 연결하자. 두 발로 서 있는 사람 인!|人間(인간): 사람(人)이 사는 사이(間), 사람을 이르는 말.|人口(인구): 사람(人)의 입(口)을 세듯 센 사람 수.|a confident human figure standing with legs apart
88|반듯이 선 두 다리|儿는 글자 아래에서 받치는 사람의 두 다리로 기억하자. 人과 달리 아랫부분에 붙는 인발!|兄弟(형제): 兄 아래 儿를 찾는다. 형과 아우.|元氣(원기): 元 아래 儿를 찾는다. 본래의 기운이라는 뜻이다.|a pair of sturdy human legs standing upright
89|팔 벌린 거인|大는 人에 가로획을 더한 모양. 사람이 팔까지 활짝 벌리면 훨씬 크다, 큰 대!|大學(대학): 큰(大) 배움(學)을 하는 교육 기관.|巨大(거대): 클 거(巨)와 큰 대(大), 매우 큼.|a gigantic cheerful person with arms stretched wide
90|한쪽 다리로 균형|尢의 휘어진 아랫획을 균형 잡는 다리로 연결하자. 전통 훈은 그대로 알되 사람을 놀리는 장면으로 만들지 않는다.|尢部(왕부): 부수 사전에서 尢로 분류한 부분.|就業(취업): 就 오른쪽 아래의 尢 모양을 찾는다. 직업을 얻음.|a dignified athlete calmly balancing on one leg
91|베개 앞에서 망설이는 사람|冘의 아래 두 갈래를 이쪽저쪽 망설이는 발로 보자. 원문의 베개 연상은 枕과 연결하고, 기본 훈은 머뭇거릴 음으로 익힌다.|枕具(침구): 枕 오른쪽 冘를 찾는다. 베개 등 잠자리에 쓰는 도구.|沈沒(침몰): 沈의 오른쪽에 冘가 있다. 물속에 가라앉음.|an enormous soft lavender pillow with deep folds
92|나를 감싼 몸|己의 굽은 획을 몸을 스스로 감싼 모습으로 보자. 자기의 기, 몸 기!|自己(자기): 스스로(自)인 나(己).|克己(극기): 자기(己)를 이겨냄(克).|a person hugging their own torso with a warm smile
